,city,state
0,Mumbai,Maharashtra
1,Delhi,Delhi
2,Bengaluru,Karnataka
3,Ahmedabad,Gujarat
4,Hyderabad,Telangana
5,Chennai,Tamil Nadu
6,Kolkata,West Bengal
7,Pune,Maharashtra
8,Jaipur,Rajasthan
9,Surat,Gujarat
10,Lucknow,Uttar Pradesh
11,Kanpur,Uttar Pradesh
12,Nagpur,Maharashtra
13,Patna,Bihar
14,Indore,Madhya Pradesh
15,Thane,Maharashtra
16,Bhopal,Madhya Pradesh
17,Visakhapatnam,Andhra Pradesh
18,Vadodara,Gujarat
19,Firozabad,Uttar Pradesh
20,Ludhiana,Punjab
21,Rajkot,Gujarat
22,Agra,Uttar Pradesh
23,Siliguri,West Bengal
24,Nashik,Maharashtra
25,Faridabad,Haryana
26,Patiala,Punjab
27,Meerut,Uttar Pradesh
28,Kalyan-Dombivali,Maharashtra
29,Vasai-Virar,Maharashtra
30,Varanasi,Uttar Pradesh
31,Srinagar,Jammu and Kashmir
32,Dhanbad,Jharkhand
33,Jodhpur,Rajasthan
34,Amritsar,Punjab
35,Raipur,Chhattisgarh
36,Allahabad,Uttar Pradesh
37,Coimbatore,Tamil Nadu
38,Jabalpur,Madhya Pradesh
39,Gwalior,Madhya Pradesh
40,Vijayawada,Andhra Pradesh
41,Madurai,Tamil Nadu
42,Guwahati,Assam
43,Chandigarh,Chandigarh
44,Hubli-Dharwad,Karnataka
45,Amroha,Uttar Pradesh
46,Moradabad,Uttar Pradesh
47,Gurgaon,Haryana
48,Aligarh,Uttar Pradesh
49,Solapur,Maharashtra
50,Ranchi,Jharkhand
51,Jalandhar,Punjab
52,Tiruchirappalli,Tamil Nadu
53,Bhubaneswar,Odisha
54,Salem,Tamil Nadu
55,Warangal,Telangana
56,Mira-Bhayandar,Maharashtra
57,Thiruvananthapuram,Kerala
58,Bhiwandi,Maharashtra
59,Saharanpur,Uttar Pradesh
60,Guntur,Andhra Pradesh
61,Amravati,Maharashtra
62,Bikaner,Rajasthan
63,Noida,Uttar Pradesh
64,Jamshedpur,Jharkhand
65,Bhilai Nagar,Chhattisgarh
66,Cuttack,Odisha
67,Kochi,Kerala
68,Udaipur,Rajasthan
69,Bhavnagar,Gujarat
70,Dehradun,Uttarakhand
71,Asansol,West Bengal
72,Nanded-Waghala,Maharashtra
73,Ajmer,Rajasthan
74,Jamnagar,Gujarat
75,Ujjain,Madhya Pradesh
76,Sangli,Maharashtra
77,Loni,Uttar Pradesh
78,Jhansi,Uttar Pradesh
79,Pondicherry,Puducherry
80,Nellore,Andhra Pradesh
81,Jammu,Jammu and Kashmir
82,Belagavi,Karnataka
83,Raurkela,Odisha
84,Mangaluru,Karnataka
85,Tirunelveli,Tamil Nadu
86,Malegaon,Maharashtra
87,Gaya,Bihar
88,Tiruppur,Tamil Nadu
89,Davanagere,Karnataka
90,Kozhikode,Kerala
91,Akola,Maharashtra
92,Kurnool,Andhra Pradesh
93,Bokaro Steel City,Jharkhand
94,Rajahmundry,Andhra Pradesh
95,Ballari,Karnataka
96,Agartala,Tripura
97,Bhagalpur,Bihar
98,Latur,Maharashtra
99,Dhule,Maharashtra
100,Korba,Chhattisgarh
101,Bhilwara,Rajasthan
102,Brahmapur,Odisha
103,Mysore,Karnatka
104,Muzaffarpur,Bihar
105,Ahmednagar,Maharashtra
106,Kollam,Kerala
107,Raghunathganj,West Bengal
108,Bilaspur,Chhattisgarh
109,Shahjahanpur,Uttar Pradesh
110,Thrissur,Kerala
111,Alwar,Rajasthan
112,Kakinada,Andhra Pradesh
113,Nizamabad,Telangana
114,Sagar,Madhya Pradesh
115,Tumkur,Karnataka
116,Hisar,Haryana
117,Rohtak,Haryana
118,Panipat,Haryana
119,Darbhanga,Bihar
120,Kharagpur,West Bengal
121,Aizawl,Mizoram
122,Ichalkaranji,Maharashtra
123,Tirupati,Andhra Pradesh
124,Karnal,Haryana
125,Bathinda,Punjab
126,Rampur,Uttar Pradesh
127,Shivamogga,Karnataka
128,Ratlam,Madhya Pradesh
129,Modinagar,Uttar Pradesh
130,Durg,Chhattisgarh
131,Shillong,Meghalaya
132,Imphal,Manipur
133,Hapur,Uttar Pradesh
134,Ranipet,Tamil Nadu
135,Anantapur,Andhra Pradesh
136,Arrah,Bihar
137,Karimnagar,Telangana
138,Parbhani,Maharashtra
139,Etawah,Uttar Pradesh
140,Bharatpur,Rajasthan
141,Begusarai,Bihar
142,New Delhi,Delhi
143,Chhapra,Bihar
144,Kadapa,Andhra Pradesh
145,Ramagundam,Telangana
146,Pali,Rajasthan
147,Satna,Madhya Pradesh
148,Vizianagaram,Andhra Pradesh
149,Katihar,Bihar
150,Hardwar,Uttarakhand
151,Sonipat,Haryana
152,Nagercoil,Tamil Nadu
153,Thanjavur,Tamil Nadu
154,Murwara (Katni),Madhya Pradesh
155,Naihati,West Bengal
156,Sambhal,Uttar Pradesh
157,Nadiad,Gujarat
158,Yamunanagar,Haryana
159,English Bazar,West Bengal
160,Eluru,Andhra Pradesh
161,Munger,Bihar
162,Panchkula,Haryana
163,Raayachuru,Karnataka
164,Panvel,Maharashtra
165,Deoghar,Jharkhand
166,Ongole,Andhra Pradesh
167,Nandyal,Andhra Pradesh
168,Morena,Madhya Pradesh
169,Bhiwani,Haryana
170,Porbandar,Gujarat
171,Palakkad,Kerala
172,Anand,Gujarat
173,Purnia,Bihar
174,Baharampur,West Bengal
175,Barmer,Rajasthan
176,Morvi,Gujarat
177,Orai,Uttar Pradesh
178,Bahraich,Uttar Pradesh
179,Sikar,Rajasthan
180,Vellore,Tamil Nadu
181,Singrauli,Madhya Pradesh
182,Khammam,Telangana
183,Mahesana,Gujarat
184,Silchar,Assam
185,Sambalpur,Odisha
186,Rewa,Madhya Pradesh
187,Unnao,Uttar Pradesh
188,Hugli-Chinsurah,West Bengal
189,Raiganj,West Bengal
190,Phusro,Jharkhand
191,Adityapur,Jharkhand
192,Alappuzha,Kerala
193,Bahadurgarh,Haryana
194,Machilipatnam,Andhra Pradesh
195,Rae Bareli,Uttar Pradesh
196,Jalpaiguri,West Bengal
197,Bharuch,Gujarat
198,Pathankot,Punjab
199,Hoshiarpur,Punjab
200,Baramula,Jammu and Kashmir
201,Adoni,Andhra Pradesh
202,Jind,Haryana
203,Tonk,Rajasthan
204,Tenali,Andhra Pradesh
205,Kancheepuram,Tamil Nadu
206,Vapi,Gujarat
207,Sirsa,Haryana
208,Navsari,Gujarat
209,Mahbubnagar,Telangana
210,Puri,Odisha
211,Robertson Pet,Karnataka
212,Erode,Tamil Nadu
213,Batala,Punjab
214,Haldwani-cum-Kathgodam,Uttarakhand
215,Vidisha,Madhya Pradesh
216,Saharsa,Bihar
217,Thanesar,Haryana
218,Chittoor,Andhra Pradesh
219,Veraval,Gujarat
220,Lakhimpur,Uttar Pradesh
221,Sitapur,Uttar Pradesh
222,Hindupur,Andhra Pradesh
223,Santipur,West Bengal
224,Balurghat,West Bengal
225,Ganjbasoda,Madhya Pradesh
226,Moga,Punjab
227,Proddatur,Andhra Pradesh
228,Srinagar,Uttarakhand
229,Medinipur,West Bengal
230,Habra,West Bengal
231,Sasaram,Bihar
232,Hajipur,Bihar
233,Bhuj,Gujarat
234,Shivpuri,Madhya Pradesh
235,Ranaghat,West Bengal
236,Shimla,Himachal Pradesh
237,Tiruvannamalai,Tamil Nadu
238,Kaithal,Haryana
239,Rajnandgaon,Chhattisgarh
240,Godhra,Gujarat
241,Hazaribag,Jharkhand
242,Bhimavaram,Andhra Pradesh
243,Mandsaur,Madhya Pradesh
244,Dibrugarh,Assam
245,Kolar,Karnataka
246,Bankura,West Bengal
247,Mandya,Karnataka
248,Dehri-on-Sone,Bihar
249,Madanapalle,Andhra Pradesh
250,Malerkotla,Punjab
251,Lalitpur,Uttar Pradesh
252,Bettiah,Bihar
253,Pollachi,Tamil Nadu
254,Khanna,Punjab
255,Neemuch,Madhya Pradesh
256,Palwal,Haryana
257,Palanpur,Gujarat
258,Guntakal,Andhra Pradesh
259,Nabadwip,West Bengal
260,Udupi,Karnataka
261,Jagdalpur,Chhattisgarh
262,Motihari,Bihar
263,Pilibhit,Uttar Pradesh
264,Dimapur,Nagaland
265,Mohali,Punjab
266,Sadulpur,Rajasthan
267,Rajapalayam,Tamil Nadu
268,Dharmavaram,Andhra Pradesh
269,Kashipur,Uttarakhand
270,Sivakasi,Tamil Nadu
271,Darjiling,West Bengal
272,Chikkamagaluru,Karnataka
273,Gudivada,Andhra Pradesh
274,Baleshwar Town,Odisha
275,Mancherial,Telangana
276,Srikakulam,Andhra Pradesh
277,Adilabad,Telangana
278,Yavatmal,Maharashtra
279,Barnala,Punjab
280,Nagaon,Assam
281,Narasaraopet,Andhra Pradesh
282,Raigarh,Chhattisgarh
283,Roorkee,Uttarakhand
284,Valsad,Gujarat
285,Ambikapur,Chhattisgarh
286,Giridih,Jharkhand
287,Chandausi,Uttar Pradesh
288,Purulia,West Bengal
289,Patan,Gujarat
290,Bagaha,Bihar
291,Hardoi ,Uttar Pradesh
292,Achalpur,Maharashtra
293,Osmanabad,Maharashtra
294,Deesa,Gujarat
295,Nandurbar,Maharashtra
296,Azamgarh,Uttar Pradesh
297,Ramgarh,Jharkhand
298,Firozpur,Punjab
299,Baripada Town,Odisha
300,Karwar,Karnataka
301,Siwan,Bihar
302,Rajampet,Andhra Pradesh
303,Pudukkottai,Tamil Nadu
304,Anantnag,Jammu and Kashmir
305,Tadpatri,Andhra Pradesh
306,Satara,Maharashtra
307,Bhadrak,Odisha
308,Kishanganj,Bihar
309,Suryapet,Telangana
310,Wardha,Maharashtra
311,Ranebennuru,Karnataka
312,Amreli,Gujarat
313,Neyveli (TS),Tamil Nadu
314,Jamalpur,Bihar
315,Marmagao,Goa
316,Udgir,Maharashtra
317,Tadepalligudem,Andhra Pradesh
318,Nagapattinam,Tamil Nadu
319,Buxar,Bihar
320,Aurangabad,Maharashtra
321,Jehanabad,Bihar
322,Phagwara,Punjab
323,Khair,Uttar Pradesh
324,Sawai Madhopur,Rajasthan
325,Kapurthala,Punjab
326,Chilakaluripet,Andhra Pradesh
327,Aurangabad,Bihar
328,Malappuram,Kerala
329,Rewari,Haryana
330,Nagaur,Rajasthan
331,Sultanpur,Uttar Pradesh
332,Nagda,Madhya Pradesh
333,Port Blair,Andaman and Nicobar Islands
334,Lakhisarai,Bihar
335,Panaji,Goa
336,Tinsukia,Assam
337,Itarsi,Madhya Pradesh
338,Kohima,Nagaland
339,Balangir,Odisha
340,Nawada,Bihar
341,Jharsuguda,Odisha
342,Jagtial,Telangana
343,Viluppuram,Tamil Nadu
344,Amalner,Maharashtra
345,Zirakpur,Punjab
346,Tanda,Uttar Pradesh
347,Tiruchengode,Tamil Nadu
348,Nagina,Uttar Pradesh
349,Yemmiganur,Andhra Pradesh
350,Vaniyambadi,Tamil Nadu
351,Sarni,Madhya Pradesh
352,Theni Allinagaram,Tamil Nadu
353,Margao,Goa
354,Akot,Maharashtra
355,Sehore,Madhya Pradesh
356,Mhow Cantonment,Madhya Pradesh
357,Kot Kapura,Punjab
358,Makrana,Rajasthan
359,Pandharpur,Maharashtra
360,Miryalaguda,Telangana
361,Shamli,Uttar Pradesh
362,Seoni,Madhya Pradesh
363,Ranibennur,Karnataka
364,Kadiri,Andhra Pradesh
365,Shrirampur,Maharashtra
366,Rudrapur,Uttarakhand
367,Parli,Maharashtra
368,Najibabad,Uttar Pradesh
369,Nirmal,Telangana
370,Udhagamandalam,Tamil Nadu
371,Shikohabad,Uttar Pradesh
372,Jhumri Tilaiya,Jharkhand
373,Aruppukkottai,Tamil Nadu
374,Ponnani,Kerala
375,Jamui,Bihar
376,Sitamarhi,Bihar
377,Chirala,Andhra Pradesh
378,Anjar,Gujarat
379,Karaikal,Puducherry
380,Hansi,Haryana
381,Anakapalle,Andhra Pradesh
382,Mahasamund,Chhattisgarh
383,Faridkot,Punjab
384,Saunda,Jharkhand
385,Dhoraji,Gujarat
386,Paramakudi,Tamil Nadu
387,Balaghat,Madhya Pradesh
388,Sujangarh,Rajasthan
389,Khambhat,Gujarat
390,Muktsar,Punjab
391,Rajpura,Punjab
392,Kavali,Andhra Pradesh
393,Dhamtari,Chhattisgarh
394,Ashok Nagar,Madhya Pradesh
395,Sardarshahar,Rajasthan
396,Mahuva,Gujarat
397,Bargarh,Odisha
398,Kamareddy,Telangana
399,Sahibganj,Jharkhand
400,Kothagudem,Telangana
401,Ramanagaram,Karnataka
402,Gokak,Karnataka
403,Tikamgarh,Madhya Pradesh
404,Araria,Bihar
405,Rishikesh,Uttarakhand
406,Shahdol,Madhya Pradesh
407,Medininagar (Daltonganj),Jharkhand
408,Arakkonam,Tamil Nadu
409,Washim,Maharashtra
410,Sangrur,Punjab
411,Bodhan,Telangana
412,Fazilka,Punjab
413,Palacole,Andhra Pradesh
414,Keshod,Gujarat
415,Sullurpeta,Andhra Pradesh
416,Wadhwan,Gujarat
417,Gurdaspur,Punjab
418,Vatakara,Kerala
419,Tura,Meghalaya
420,Narnaul,Haryana
421,Kharar,Punjab
422,Yadgir,Karnataka
423,Ambejogai,Maharashtra
424,Ankleshwar,Gujarat
425,Savarkundla,Gujarat
426,Paradip,Odisha
427,Virudhachalam,Tamil Nadu
428,Kanhangad,Kerala
429,Kadi,Gujarat
430,Srivilliputhur,Tamil Nadu
431,Gobindgarh,Punjab
432,Tindivanam,Tamil Nadu
433,Mansa,Punjab
434,Taliparamba,Kerala
435,Manmad,Maharashtra
436,Tanuku,Andhra Pradesh
437,Rayachoti,Andhra Pradesh
438,Virudhunagar,Tamil Nadu
439,Koyilandy,Kerala
440,Jorhat,Assam
441,Karur,Tamil Nadu
442,Valparai,Tamil Nadu
443,Srikalahasti,Andhra Pradesh
444,Neyyattinkara,Kerala
445,Bapatla,Andhra Pradesh
446,Fatehabad,Haryana
447,Malout,Punjab
448,Sankarankovil,Tamil Nadu
449,Tenkasi,Tamil Nadu
450,Ratnagiri,Maharashtra
451,Rabkavi Banhatti,Karnataka
452,Sikandrabad,Uttar Pradesh
453,Chaibasa,Jharkhand
454,Chirmiri,Chhattisgarh
455,Palwancha,Telangana
456,Bhawanipatna,Odisha
457,Kayamkulam,Kerala
458,Pithampur,Madhya Pradesh
459,Nabha,Punjab
460,"Shahabad, Hardoi",Uttar Pradesh
461,Dhenkanal,Odisha
462,Uran Islampur,Maharashtra
463,Gopalganj,Bihar
464,Bongaigaon City,Assam
465,Palani,Tamil Nadu
466,Pusad,Maharashtra
467,Sopore,Jammu and Kashmir
468,Pilkhuwa,Uttar Pradesh
469,Tarn Taran,Punjab
470,Renukoot,Uttar Pradesh
471,Mandamarri,Telangana
472,Shahabad,Karnataka
473,Barbil,Odisha
474,Koratla,Telangana
475,Madhubani,Bihar
476,Arambagh,West Bengal
477,Gohana,Haryana
478,Ladnu,Rajasthan
479,Pattukkottai,Tamil Nadu
480,Sirsi,Karnataka
481,Sircilla,Telangana
482,Tamluk,West Bengal
483,Jagraon,Punjab
484,AlipurdUrban Agglomerationr,West Bengal
485,Alirajpur,Madhya Pradesh
486,Tandur,Telangana
487,Naidupet,Andhra Pradesh
488,Tirupathur,Tamil Nadu
489,Tohana,Haryana
490,Ratangarh,Rajasthan
491,Dhubri,Assam
492,Masaurhi,Bihar
493,Visnagar,Gujarat
494,Vrindavan,Uttar Pradesh
495,Nokha,Rajasthan
496,Nagari,Andhra Pradesh
497,Narwana,Haryana
498,Ramanathapuram,Tamil Nadu
499,Ujhani,Uttar Pradesh
500,Samastipur,Bihar
501,Laharpur,Uttar Pradesh
502,Sangamner,Maharashtra
503,Nimbahera,Rajasthan
504,Siddipet,Telangana
505,Suri,West Bengal
506,Diphu,Assam
507,Jhargram,West Bengal
508,Shirpur-Warwade,Maharashtra
509,Tilhar,Uttar Pradesh
510,Sindhnur,Karnataka
511,Udumalaipettai,Tamil Nadu
512,Malkapur,Maharashtra
513,Wanaparthy,Telangana
514,Gudur,Andhra Pradesh
515,Kendujhar,Odisha
516,Mandla,Madhya Pradesh
517,Mandi,Himachal Pradesh
518,Nedumangad,Kerala
519,North Lakhimpur,Assam
520,Vinukonda,Andhra Pradesh
521,Tiptur,Karnataka
522,Gobichettipalayam,Tamil Nadu
523,Sunabeda,Odisha
524,Wani,Maharashtra
525,Upleta,Gujarat
526,Narasapuram,Andhra Pradesh
527,Nuzvid,Andhra Pradesh
528,Tezpur,Assam
529,Una,Gujarat
530,Markapur,Andhra Pradesh
531,Sheopur,Madhya Pradesh
532,Thiruvarur,Tamil Nadu
533,Sidhpur,Gujarat
534,Sahaswan,Uttar Pradesh
535,Suratgarh,Rajasthan
536,Shajapur,Madhya Pradesh
537,Rayagada,Odisha
538,Lonavla,Maharashtra
539,Ponnur,Andhra Pradesh
540,Kagaznagar,Telangana
541,Gadwal,Telangana
542,Bhatapara,Chhattisgarh
543,Kandukur,Andhra Pradesh
544,Sangareddy,Telangana
545,Unjha,Gujarat
546,Lunglei,Mizoram
547,Karimganj,Assam
548,Kannur,Kerala
549,Bobbili,Andhra Pradesh
550,Mokameh,Bihar
551,Talegaon Dabhade,Maharashtra
552,Anjangaon,Maharashtra
553,Mangrol,Gujarat
554,Sunam,Punjab
555,Gangarampur,West Bengal
556,Thiruvallur,Tamil Nadu
557,Tirur,Kerala
558,Rath,Uttar Pradesh
559,Jatani,Odisha
560,Viramgam,Gujarat
561,Rajsamand,Rajasthan
562,Yanam,Puducherry
563,Kottayam,Kerala
564,Panruti,Tamil Nadu
565,Dhuri,Punjab
566,Namakkal,Tamil Nadu
567,Kasaragod,Kerala
568,Modasa,Gujarat
569,Rayadurg,Andhra Pradesh
570,Supaul,Bihar
571,Kunnamkulam,Kerala
572,Umred,Maharashtra
573,Bellampalle,Telangana
574,Sibsagar,Assam
575,Mandi Dabwali,Haryana
576,Ottappalam,Kerala
577,Dumraon,Bihar
578,Samalkot,Andhra Pradesh
579,Jaggaiahpet,Andhra Pradesh
580,Goalpara,Assam
581,Tuni,Andhra Pradesh
582,Lachhmangarh,Rajasthan
583,Bhongir,Telangana
584,Amalapuram,Andhra Pradesh
585,Firozpur Cantt.,Punjab
586,Vikarabad,Telangana
587,Thiruvalla,Kerala
588,Sherkot,Uttar Pradesh
589,Palghar,Maharashtra
590,Shegaon,Maharashtra
591,Jangaon,Telangana
592,Bheemunipatnam,Andhra Pradesh
593,Panna,Madhya Pradesh
594,Thodupuzha,Kerala
595,KathUrban Agglomeration,Jammu and Kashmir
596,Palitana,Gujarat
597,Arwal,Bihar
598,Venkatagiri,Andhra Pradesh
599,Kalpi,Uttar Pradesh
600,Rajgarh (Churu),Rajasthan
601,Sattenapalle,Andhra Pradesh
602,Arsikere,Karnataka
603,Ozar,Maharashtra
604,Thirumangalam,Tamil Nadu
605,Petlad,Gujarat
606,Nasirabad,Rajasthan
607,Phaltan,Maharashtra
608,Rampurhat,West Bengal
609,Nanjangud,Karnataka
610,Forbesganj,Bihar
611,Tundla,Uttar Pradesh
612,BhabUrban Agglomeration,Bihar
613,Sagara,Karnataka
614,Pithapuram,Andhra Pradesh
615,Sira,Karnataka
616,Bhadrachalam,Telangana
617,Charkhi Dadri,Haryana
618,Chatra,Jharkhand
619,Palasa Kasibugga,Andhra Pradesh
