,city,state
620,Nohar,Rajasthan
621,Yevla,Maharashtra
622,Sirhind Fatehgarh Sahib,Punjab
623,Bhainsa,Telangana
624,Parvathipuram,Andhra Pradesh
625,Shahade,Maharashtra
626,Chalakudy,Kerala
627,Narkatiaganj,Bihar
628,Kapadvanj,Gujarat
629,Macherla,Andhra Pradesh
630,Raghogarh-Vijaypur,Madhya Pradesh
631,Rupnagar,Punjab
632,Naugachhia,Bihar
633,Sendhwa,Madhya Pradesh
634,Byasanagar,Odisha
635,Sandila,Uttar Pradesh
636,Gooty,Andhra Pradesh
637,Salur,Andhra Pradesh
638,Nanpara,Uttar Pradesh
639,Sardhana,Uttar Pradesh
640,Vita,Maharashtra
641,Gumia,Jharkhand
642,Puttur,Karnataka
643,Jalandhar Cantt.,Punjab
644,Nehtaur,Uttar Pradesh
645,Changanassery,Kerala
646,Mandapeta,Andhra Pradesh
647,Dumka,Jharkhand
648,Seohara,Uttar Pradesh
649,Umarkhed,Maharashtra
650,Madhupur,Jharkhand
651,Vikramasingapuram,Tamil Nadu
652,Punalur,Kerala
653,Kendrapara,Odisha
654,Sihor,Gujarat
655,Nellikuppam,Tamil Nadu
656,Samana,Punjab
657,Warora,Maharashtra
658,Nilambur,Kerala
659,Rasipuram,Tamil Nadu
660,Ramnagar,Uttarakhand
661,Jammalamadugu,Andhra Pradesh
662,Nawanshahr,Punjab
663,Thoubal,Manipur
664,Athni,Karnataka
665,Cherthala,Kerala
666,Sidhi,Madhya Pradesh
667,Farooqnagar,Telangana
668,Peddapuram,Andhra Pradesh
669,Chirkunda,Jharkhand
670,Pachora,Maharashtra
671,Madhepura,Bihar
672,Pithoragarh,Uttarakhand
673,Tumsar,Maharashtra
674,Phalodi,Rajasthan
675,Tiruttani,Tamil Nadu
676,Rampura Phul,Punjab
677,Perinthalmanna,Kerala
678,Padrauna,Uttar Pradesh
679,Pipariya,Madhya Pradesh
680,Dalli-Rajhara,Chhattisgarh
681,Punganur,Andhra Pradesh
682,Mattannur,Kerala
683,Mathura,Uttar Pradesh
684,Thakurdwara,Uttar Pradesh
685,Nandivaram-Guduvancheri,Tamil Nadu
686,Mulbagal,Karnataka
687,Manjlegaon,Maharashtra
688,Wankaner,Gujarat
689,Sillod,Maharashtra
690,Nidadavole,Andhra Pradesh
691,Surapura,Karnataka
692,Rajagangapur,Odisha
693,Sheikhpura,Bihar
694,Parlakhemundi,Odisha
695,Kalimpong,West Bengal
696,Siruguppa,Karnataka
697,Arvi,Maharashtra
698,Limbdi,Gujarat
699,Barpeta,Assam
700,Manglaur,Uttarakhand
701,Repalle,Andhra Pradesh
702,Mudhol,Karnataka
703,Shujalpur,Madhya Pradesh
704,Mandvi,Gujarat
705,Thangadh,Gujarat
706,Sironj,Madhya Pradesh
707,Nandura,Maharashtra
708,Shoranur,Kerala
709,Nathdwara,Rajasthan
710,Periyakulam,Tamil Nadu
711,Sultanganj,Bihar
712,Medak,Telangana
713,Narayanpet,Telangana
714,Raxaul Bazar,Bihar
715,Rajauri,Jammu and Kashmir
716,Pernampattu,Tamil Nadu
717,Nainital,Uttarakhand
718,Ramachandrapuram,Andhra Pradesh
719,Vaijapur,Maharashtra
720,Nangal,Punjab
721,Sidlaghatta,Karnataka
722,Punch,Jammu and Kashmir
723,Pandhurna,Madhya Pradesh
724,Wadgaon Road,Maharashtra
725,Talcher,Odisha
726,Varkala,Kerala
727,Pilani,Rajasthan
728,Nowgong,Madhya Pradesh
729,Naila Janjgir,Chhattisgarh
730,Mapusa,Goa
731,Vellakoil,Tamil Nadu
732,Merta City,Rajasthan
733,Sivaganga,Tamil Nadu
734,Mandideep,Madhya Pradesh
735,Sailu,Maharashtra
736,Vyara,Gujarat
737,Kovvur,Andhra Pradesh
738,Vadalur,Tamil Nadu
739,Nawabganj,Uttar Pradesh
740,Padra,Gujarat
741,Sainthia,West Bengal
742,Siana,Uttar Pradesh
743,Shahpur,Karnataka
744,Sojat,Rajasthan
745,Noorpur,Uttar Pradesh
746,Paravoor,Kerala
747,Murtijapur,Maharashtra
748,Ramnagar,Bihar
749,Sundargarh,Odisha
750,Taki,West Bengal
751,Saundatti-Yellamma,Karnataka
752,Pathanamthitta,Kerala
753,Wadi,Karnataka
754,Rameshwaram,Tamil Nadu
755,Tasgaon,Maharashtra
756,Sikandra Rao,Uttar Pradesh
757,Sihora,Madhya Pradesh
758,Tiruvethipuram,Tamil Nadu
759,Tiruvuru,Andhra Pradesh
760,Mehkar,Maharashtra
761,Peringathur,Kerala
762,Perambalur,Tamil Nadu
763,Manvi,Karnataka
764,Zunheboto,Nagaland
765,Mahnar Bazar,Bihar
766,Attingal,Kerala
767,Shahbad,Haryana
768,Puranpur,Uttar Pradesh
769,Nelamangala,Karnataka
770,Nakodar,Punjab
771,Lunawada,Gujarat
772,Murshidabad,West Bengal
773,Mahe,Puducherry
774,Lanka,Assam
775,Rudauli,Uttar Pradesh
776,Tuensang,Nagaland
777,Lakshmeshwar,Karnataka
778,Zira,Punjab
779,Yawal,Maharashtra
780,Thana Bhawan,Uttar Pradesh
781,Ramdurg,Karnataka
782,Pulgaon,Maharashtra
783,Sadasivpet,Telangana
784,Nargund,Karnataka
785,Neem-Ka-Thana,Rajasthan
786,Memari,West Bengal
787,Nilanga,Maharashtra
788,Naharlagun,Arunachal Pradesh
789,Pakaur,Jharkhand
790,Wai,Maharashtra
791,Tarikere,Karnataka
792,Malavalli,Karnataka
793,Raisen,Madhya Pradesh
794,Lahar,Madhya Pradesh
795,Uravakonda,Andhra Pradesh
796,Savanur,Karnataka
797,Sirohi,Rajasthan
798,Udhampur,Jammu and Kashmir
799,Umarga,Maharashtra
800,Pratapgarh,Rajasthan
801,Lingsugur,Karnataka
802,Usilampatti,Tamil Nadu
803,Palia Kalan,Uttar Pradesh
804,Wokha,Nagaland
805,Rajpipla,Gujarat
806,Vijayapura,Karnataka
807,Rawatbhata,Rajasthan
808,Sangaria,Rajasthan
809,Paithan,Maharashtra
810,Rahuri,Maharashtra
811,Patti,Punjab
812,Zaidpur,Uttar Pradesh
813,Lalsot,Rajasthan
814,Maihar,Madhya Pradesh
815,Vedaranyam,Tamil Nadu
816,Nawapur,Maharashtra
817,Solan,Himachal Pradesh
818,Vapi,Gujarat
819,Sanawad,Madhya Pradesh
820,Warisaliganj,Bihar
821,Revelganj,Bihar
822,Sabalgarh,Madhya Pradesh
823,Tuljapur,Maharashtra
824,Simdega,Jharkhand
825,Musabani,Jharkhand
826,Kodungallur,Kerala
827,Phulabani,Odisha
828,Umreth,Gujarat
829,Narsipatnam,Andhra Pradesh
830,Nautanwa,Uttar Pradesh
831,Rajgir,Bihar
832,Yellandu,Telangana
833,Sathyamangalam,Tamil Nadu
834,Pilibanga,Rajasthan
835,Morshi,Maharashtra
836,Pehowa,Haryana
837,Sonepur,Bihar
838,Pappinisseri,Kerala
839,Zamania,Uttar Pradesh
840,Mihijam,Jharkhand
841,Purna,Maharashtra
842,Puliyankudi,Tamil Nadu
843,"Shikarpur, Bulandshahr",Uttar Pradesh
844,Umaria,Madhya Pradesh
845,Porsa,Madhya Pradesh
846,Naugawan Sadat,Uttar Pradesh
847,Fatehpur Sikri,Uttar Pradesh
848,Manuguru,Telangana
849,Udaipur,Tripura
850,Pipar City,Rajasthan
851,Pattamundai,Odisha
852,Nanjikottai,Tamil Nadu
853,Taranagar,Rajasthan
854,Yerraguntla,Andhra Pradesh
855,Satana,Maharashtra
856,Sherghati,Bihar
857,Sankeshwara,Karnataka
858,Madikeri,Karnataka
859,Thuraiyur,Tamil Nadu
860,Sanand,Gujarat
861,Rajula,Gujarat
862,Kyathampalle,Telangana
863,"Shahabad, Rampur",Uttar Pradesh
864,Tilda Newra,Chhattisgarh
865,Narsinghgarh,Madhya Pradesh
866,Chittur-Thathamangalam,Kerala
867,Malaj Khand,Madhya Pradesh
868,Sarangpur,Madhya Pradesh
869,Robertsganj,Uttar Pradesh
870,Sirkali,Tamil Nadu
871,Radhanpur,Gujarat
872,Tiruchendur,Tamil Nadu
873,Utraula,Uttar Pradesh
874,Patratu,Jharkhand
875,"Vijainagar, Ajmer",Rajasthan
876,Periyasemur,Tamil Nadu
877,Pathri,Maharashtra
878,Sadabad,Uttar Pradesh
879,Talikota,Karnataka
880,Sinnar,Maharashtra
881,Mungeli,Chhattisgarh
882,Sedam,Karnataka
883,Shikaripur,Karnataka
884,Sumerpur,Rajasthan
885,Sattur,Tamil Nadu
886,Sugauli,Bihar
887,Lumding,Assam
888,Vandavasi,Tamil Nadu
889,Titlagarh,Odisha
890,Uchgaon,Maharashtra
891,Mokokchung,Nagaland
892,Paschim Punropara,West Bengal
893,Sagwara,Rajasthan
894,Ramganj Mandi,Rajasthan
895,Tarakeswar,West Bengal
896,Mahalingapura,Karnataka
897,Dharmanagar,Tripura
898,Mahemdabad,Gujarat
899,Manendragarh,Chhattisgarh
900,Uran,Maharashtra
901,Tharamangalam,Tamil Nadu
902,Tirukkoyilur,Tamil Nadu
903,Pen,Maharashtra
904,Makhdumpur,Bihar
905,Maner,Bihar
906,Oddanchatram,Tamil Nadu
907,Palladam,Tamil Nadu
908,Mundi,Madhya Pradesh
909,Nabarangapur,Odisha
910,Mudalagi,Karnataka
911,Samalkha,Haryana
912,Nepanagar,Madhya Pradesh
913,Karjat,Maharashtra
914,Ranavav,Gujarat
915,Pedana,Andhra Pradesh
916,Pinjore,Haryana
917,Lakheri,Rajasthan
918,Pasan,Madhya Pradesh
919,Puttur,Andhra Pradesh
920,Vadakkuvalliyur,Tamil Nadu
921,Tirukalukundram,Tamil Nadu
922,Mahidpur,Madhya Pradesh
923,Mussoorie,Uttarakhand
924,Muvattupuzha,Kerala
925,Rasra,Uttar Pradesh
926,Udaipurwati,Rajasthan
927,Manwath,Maharashtra
928,Adoor,Kerala
929,Uthamapalayam,Tamil Nadu
930,Partur,Maharashtra
931,Nahan,Himachal Pradesh
932,Ladwa,Haryana
933,Mankachar,Assam
934,Nongstoin,Meghalaya
935,Losal,Rajasthan
936,Sri Madhopur,Rajasthan
937,Ramngarh,Rajasthan
938,Mavelikkara,Kerala
939,Rawatsar,Rajasthan
940,Rajakhera,Rajasthan
941,Lar,Uttar Pradesh
942,Lal Gopalganj Nindaura,Uttar Pradesh
943,Muddebihal,Karnataka
944,Sirsaganj,Uttar Pradesh
945,Shahpura,Rajasthan
946,Surandai,Tamil Nadu
947,Sangole,Maharashtra
948,Pavagada,Karnataka
949,Tharad,Gujarat
950,Mansa,Gujarat
951,Umbergaon,Gujarat
952,Mavoor,Kerala
953,Nalbari,Assam
954,Talaja,Gujarat
955,Malur,Karnataka
956,Mangrulpir,Maharashtra
957,Soro,Odisha
958,Shahpura,Rajasthan
959,Vadnagar,Gujarat
960,Raisinghnagar,Rajasthan
961,Sindhagi,Karnataka
962,Sanduru,Karnataka
963,Sohna,Haryana
964,Manavadar,Gujarat
965,Pihani,Uttar Pradesh
966,Safidon,Haryana
967,Risod,Maharashtra
968,Rosera,Bihar
969,Sankari,Tamil Nadu
970,Malpura,Rajasthan
971,Sonamukhi,West Bengal
972,"Shamsabad, Agra",Uttar Pradesh
973,Nokha,Bihar
974,PandUrban Agglomeration,West Bengal
975,Mainaguri,West Bengal
976,Afzalpur,Karnataka
977,Shirur,Maharashtra
978,Salaya,Gujarat
979,Shenkottai,Tamil Nadu
980,Pratapgarh,Tripura
981,Vadipatti,Tamil Nadu
982,Nagarkurnool,Telangana
983,Savner,Maharashtra
984,Sasvad,Maharashtra
985,Rudrapur,Uttar Pradesh
986,Soron,Uttar Pradesh
987,Sholingur,Tamil Nadu
988,Pandharkaoda,Maharashtra
989,Perumbavoor,Kerala
990,Maddur,Karnataka
991,Nadbai,Rajasthan
992,Talode,Maharashtra
993,Shrigonda,Maharashtra
994,Madhugiri,Karnataka
995,Tekkalakote,Karnataka
996,Seoni-Malwa,Madhya Pradesh
997,Shirdi,Maharashtra
998,SUrban Agglomerationr,Uttar Pradesh
999,Terdal,Karnataka
1000,Raver,Maharashtra
1001,Tirupathur,Tamil Nadu
1002,Taraori,Haryana
1003,Mukhed,Maharashtra
1004,Manachanallur,Tamil Nadu
1005,Rehli,Madhya Pradesh
1006,Sanchore,Rajasthan
1007,Rajura,Maharashtra
1008,Piro,Bihar
1009,Mudabidri,Karnataka
1010,Vadgaon Kasba,Maharashtra
1011,Nagar,Rajasthan
1012,Vijapur,Gujarat
1013,Viswanatham,Tamil Nadu
1014,Polur,Tamil Nadu
1015,Panagudi,Tamil Nadu
1016,Manawar,Madhya Pradesh
1017,Tehri,Uttarakhand
1018,Samdhan,Uttar Pradesh
1019,Pardi,Gujarat
1020,Rahatgarh,Madhya Pradesh
1021,Panagar,Madhya Pradesh
1022,Uthiramerur,Tamil Nadu
1023,Tirora,Maharashtra
1024,Rangia,Assam
1025,Sahjanwa,Uttar Pradesh
1026,Wara Seoni,Madhya Pradesh
1027,Magadi,Karnataka
1028,Rajgarh (Alwar),Rajasthan
1029,Rafiganj,Bihar
1030,Tarana,Madhya Pradesh
1031,Rampur Maniharan,Uttar Pradesh
1032,Sheoganj,Rajasthan
1033,Raikot,Punjab
1034,Pauri,Uttarakhand
1035,Sumerpur,Uttar Pradesh
1036,Navalgund,Karnataka
1037,Shahganj,Uttar Pradesh
1038,Marhaura,Bihar
1039,Tulsipur,Uttar Pradesh
1040,Sadri,Rajasthan
1041,Thiruthuraipoondi,Tamil Nadu
1042,Shiggaon,Karnataka
1043,Pallapatti,Tamil Nadu
1044,Mahendragarh,Haryana
1045,Sausar,Madhya Pradesh
1046,Ponneri,Tamil Nadu
1047,Mahad,Maharashtra
1048,Lohardaga,Jharkhand
1049,Tirwaganj,Uttar Pradesh
1050,Margherita,Assam
1051,Sundarnagar,Himachal Pradesh
1052,Rajgarh,Madhya Pradesh
1053,Mangaldoi,Assam
1054,Renigunta,Andhra Pradesh
1055,Longowal,Punjab
1056,Ratia,Haryana
1057,Lalgudi,Tamil Nadu
1058,Shrirangapattana,Karnataka
1059,Niwari,Madhya Pradesh
1060,Natham,Tamil Nadu
1061,Unnamalaikadai,Tamil Nadu
1062,PurqUrban Agglomerationzi,Uttar Pradesh
1063,"Shamsabad, Farrukhabad",Uttar Pradesh
1064,Mirganj,Bihar
1065,Todaraisingh,Rajasthan
1066,Warhapur,Uttar Pradesh
1067,Rajam,Andhra Pradesh
1068,Urmar Tanda,Punjab
1069,Lonar,Maharashtra
1070,Powayan,Uttar Pradesh
1071,P.N.Patti,Tamil Nadu
1072,Palampur,Himachal Pradesh
1073,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh
1074,Sindagi,Karnataka
1075,Sandi,Uttar Pradesh
1076,Vaikom,Kerala
1077,Malda,West Bengal
1078,Tharangambadi,Tamil Nadu
1079,Sakaleshapura,Karnataka
1080,Lalganj,Bihar
1081,Malkangiri,Odisha
1082,Rapar,Gujarat
1083,Mauganj,Madhya Pradesh
1084,Todabhim,Rajasthan
1085,Srinivaspur,Karnataka
1086,Murliganj,Bihar
1087,Reengus,Rajasthan
1088,Sawantwadi,Maharashtra
1089,Tittakudi,Tamil Nadu
1090,Lilong,Manipur
1091,Rajaldesar,Rajasthan
1092,Pathardi,Maharashtra
1093,Achhnera,Uttar Pradesh
1094,Pacode,Tamil Nadu
1095,Naraura,Uttar Pradesh
1096,Nakur,Uttar Pradesh
1097,Palai,Kerala
1098,"Morinda, India",Punjab
1099,Manasa,Madhya Pradesh
1100,Nainpur,Madhya Pradesh
1101,Sahaspur,Uttar Pradesh
1102,Pauni,Maharashtra
1103,Prithvipur,Madhya Pradesh
1104,Ramtek,Maharashtra
1105,Silapathar,Assam
1106,Songadh,Gujarat
1107,Safipur,Uttar Pradesh
1108,Sohagpur,Madhya Pradesh
1109,Mul,Maharashtra
1110,Sadulshahar,Rajasthan
1111,Phillaur,Punjab
1112,Sambhar,Rajasthan
1113,Prantij,Rajasthan
1114,Nagla,Uttarakhand
1115,Pattran,Punjab
1116,Mount Abu,Rajasthan
1117,Reoti,Uttar Pradesh
1118,Tenu dam-cum-Kathhara,Jharkhand
1119,Panchla,West Bengal
1120,Sitarganj,Uttarakhand
1121,Pasighat,Arunachal Pradesh
1122,Motipur,Bihar
1123,O' Valley,Tamil Nadu
1124,Raghunathpur,West Bengal
1125,Suriyampalayam,Tamil Nadu
1126,Qadian,Punjab
1127,Rairangpur,Odisha
1128,Silvassa,Dadra and Nagar Haveli
1129,Nowrozabad (Khodargama),Madhya Pradesh
1130,Mangrol,Rajasthan
1131,Soyagaon,Maharashtra
1132,Sujanpur,Punjab
1133,Manihari,Bihar
1134,Sikanderpur,Uttar Pradesh
1135,Mangalvedhe,Maharashtra
1136,Phulera,Rajasthan
1137,Ron,Karnataka
1138,Sholavandan,Tamil Nadu
1139,Saidpur,Uttar Pradesh
1140,Shamgarh,Madhya Pradesh
1141,Thammampatti,Tamil Nadu
1142,Maharajpur,Madhya Pradesh
1143,Multai,Madhya Pradesh
1144,Mukerian,Punjab
1145,Sirsi,Uttar Pradesh
1146,Purwa,Uttar Pradesh
1147,Sheohar,Bihar
1148,Namagiripettai,Tamil Nadu
1149,Parasi,Uttar Pradesh
1150,Lathi,Gujarat
1151,Lalganj,Uttar Pradesh
1152,Narkhed,Maharashtra
1153,Mathabhanga,West Bengal
1154,Shendurjana,Maharashtra
1155,Peravurani,Tamil Nadu
1156,Mariani,Assam
1157,Phulpur,Uttar Pradesh
1158,Rania,Haryana
1159,Pali,Madhya Pradesh
1160,Pachore,Madhya Pradesh
1161,Parangipettai,Tamil Nadu
1162,Pudupattinam,Tamil Nadu
1163,Panniyannur,Kerala
1164,Maharajganj,Bihar
1165,Rau,Madhya Pradesh
1166,Monoharpur,West Bengal
1167,Mandawa,Rajasthan
1168,Marigaon,Assam
1169,Pallikonda,Tamil Nadu
1170,Pindwara,Rajasthan
1171,Shishgarh,Uttar Pradesh
1172,Patur,Maharashtra
1173,Mayang Imphal,Manipur
1174,Mhowgaon,Madhya Pradesh
1175,Guruvayoor,Kerala
1176,Mhaswad,Maharashtra
1177,Sahawar,Uttar Pradesh
1178,Sivagiri,Tamil Nadu
1179,Mundargi,Karnataka
1180,Punjaipugalur,Tamil Nadu
1181,Kailasahar,Tripura
1182,Samthar,Uttar Pradesh
1183,Sakti,Chhattisgarh
1184,Sadalagi,Karnataka
1185,Silao,Bihar
1186,Mandalgarh,Rajasthan
1187,Loha,Maharashtra
1188,Pukhrayan,Uttar Pradesh
1189,Padmanabhapuram,Tamil Nadu
1190,Belonia,Tripura
1191,Saiha,Mizoram
1192,Srirampore,West Bengal
1193,Talwara,Punjab
1194,Puthuppally,Kerala
1195,Khowai,Tripura
1196,Vijaypur,Madhya Pradesh
1197,Takhatgarh,Rajasthan
1198,Thirupuvanam,Tamil Nadu
1199,Adra,West Bengal
1200,Piriyapatna,Karnataka
1201,Obra,Uttar Pradesh
1202,Adalaj,Gujarat
1203,Nandgaon,Maharashtra
1204,Barh,Bihar
1205,Chhapra,Gujarat
1206,Panamattom,Kerala
1207,Niwai,Uttar Pradesh
1208,Bageshwar,Uttarakhand
1209,Tarbha,Odisha
1210,Adyar,Karnataka
1211,Narsinghgarh,Madhya Pradesh
1212,Warud,Maharashtra
1213,Asarganj,Bihar
1214,Sarsod,Haryana
